date	depths	temp
2010-01-01 01:00:00	-0.9	5
2010-01-01 01:00:00	-2.5	4.982047
2010-01-01 01:00:00	-5	4.955466
2010-01-01 01:00:00	-8	4.928885
2010-01-01 01:00:00	-11	4.899359
2010-01-01 01:00:00	-14	4.923911
2010-01-01 01:00:00	-16	4.936224
2010-01-01 01:00:00	-18	5.06713
2010-01-01 01:00:00	-20	5.013968
2010-01-01 01:00:00	-22	4.974097
2010-01-01 01:00:00	-27	5.06713
2010-01-01 01:00:00	-32	4.960822
2010-01-01 01:00:00	-42	4.960822
2010-01-01 02:00:00	-0.9	5.03
2010-01-01 02:00:00	-2.5	5.048468
2010-01-01 02:00:00	-5	5.014769
2010-01-01 02:00:00	-8	4.98107
2010-01-01 02:00:00	-11	4.923911
2010-01-01 02:00:00	-14	4.948538
2010-01-01 02:00:00	-16	4.960822
2010-01-01 02:00:00	-18	5.028281
2010-01-01 02:00:00	-20	5.027304
2010-01-01 02:00:00	-22	4.974127
2010-01-01 02:00:00	-27	5.0539
2010-01-01 02:00:00	-32	4.974097
2010-01-01 02:00:00	-42	4.960822
2010-01-01 03:00:00	-0.9	5.01
2010-01-01 03:00:00	-2.5	4.982047
2010-01-01 03:00:00	-5	4.9810625
2010-01-01 03:00:00	-8	4.980078
2010-01-01 03:00:00	-11	4.887045
2010-01-01 03:00:00	-14	4.936224
2010-01-01 03:00:00	-16	4.948538
2010-01-01 03:00:00	-18	5.0539
2010-01-01 03:00:00	-20	4.987418
2010-01-01 03:00:00	-22	4.960822
2010-01-01 03:00:00	-27	5.0539
2010-01-01 03:00:00	-32	4.960822
2010-01-01 03:00:00	-42	4.960822
2010-01-01 04:00:00	-0.9	4.99
2010-01-01 04:00:00	-2.5	4.968756
2010-01-01 04:00:00	-5	4.9488205
2010-01-01 04:00:00	-8	4.928885
2010-01-01 04:00:00	-11	4.911642
2010-01-01 04:00:00	-14	4.936255
2010-01-01 04:00:00	-16	4.960852
2010-01-01 04:00:00	-18	5.041571
2010-01-01 04:00:00	-20	5.000693
2010-01-01 04:00:00	-22	4.960852
2010-01-01 04:00:00	-27	5.067206
2010-01-01 04:00:00	-32	4.960852
2010-01-01 04:00:00	-42	4.960852
2010-01-01 05:00:00	-0.9	5.05
2010-01-01 05:00:00	-2.5	5.061789
2010-01-01 05:00:00	-5	5.0086195
2010-01-01 05:00:00	-8	4.95545
2010-01-01 05:00:00	-11	4.912634
2010-01-01 05:00:00	-14	4.960852
2010-01-01 05:00:00	-16	4.948538
2010-01-01 05:00:00	-18	5.040625
2010-01-01 05:00:00	-20	5.053885
2010-01-01 05:00:00	-22	4.960852
2010-01-01 05:00:00	-27	5.014029
