!date	u10	v10	airp	airt	rhum	cloud	swr	precip
1861-01-01 00:00:00	9.05	2.145	98280	5.591	77.73	0.9328	19.53	9.94e-08
1861-01-02 00:00:00	9.361	3.483	97950	4.68	74.58	1	13.59	1.173e-07
1861-01-03 00:00:00	7.229	3.382	97710	5.69	78.93	1	10.52	8.379e-08
1861-01-04 00:00:00	1.701	6.996	97400	7.219	87	1	11.84	1.557e-07
1861-01-05 00:00:00	1.83	6.263	97340	7.346	80.43	0.9475	19.41	5.263e-08
1861-01-06 00:00:00	-1.753	7.992	96950	9.037	86.57	1	16.1	2.773e-07
1861-01-07 00:00:00	2.048	3.059	98860	7.314	80.62	0.8384	25.97	8.892e-09
1861-01-08 00:00:00	-1.008	7.521	98960	7.414	85.61	1	13.65	3.444e-07
1861-01-09 00:00:00	4.409	2.69	99140	6.384	77.01	0.6988	33.75	1.163e-07
1861-01-10 00:00:00	2.549	4.336	100500	3.878	78.9	0.9523	20.75	6.228e-08
1861-01-11 00:00:00	1.136	7.315	100300	5.108	81.25	0.7027	34.66	5.384e-08
1861-01-12 00:00:00	1.994	8.393	98700	7.218	82.76	1	9.022	3.839e-07
1861-01-13 00:00:00	4.378	2.158	100100	4.74	75.74	0.984	19.62	3.229e-08
1861-01-14 00:00:00	-0.7585	4.002	101700	4.766	80.66	0.5914	41.45	0
1861-01-15 00:00:00	-6.437	4.731	101200	4.617	85.4	0.7461	34.73	0
1861-01-16 00:00:00	-8.355	4.175	99820	7.182	92.22	1	9.245	4.816e-07
1861-01-17 00:00:00	-1.157	2.655	98720	8.942	89.21	1	12.74	2.2e-07
1861-01-18 00:00:00	0.3357	-2.131	99600	7.152	87.16	0.9386	24.24	1.688e-08
1861-01-19 00:00:00	-4.856	2.278	100400	3.639	92.51	0.9155	26.57	3.353e-08
1861-01-20 00:00:00	0.04539	5.456	98940	7.402	86.69	0.9712	22.75	3.174e-07
1861-01-21 00:00:00	2.636	3.294	99790	7.029	81.91	0.6536	43.47	7.123e-08
1861-01-22 00:00:00	8.752	4.857	98610	7.743	83.01	1	15.4	1.145e-07
1861-01-23 00:00:00	3.841	3.573	99180	7.154	86.61	0.9435	26.23	5.092e-08
1861-01-24 00:00:00	7.114	2.191	98390	7.966	85.97	1	20.33	1.3e-07
1861-01-25 00:00:00	3.737	0.76	98950	5.995	81.13	0.6833	45.42	1.15e-08
1861-01-26 00:00:00	-0.7718	-1.026	97940	4.602	86.48	0.8441	35.74	4.996e-09
1861-01-27 00:00:00	-5.788	1.84	96040	4.839	92.37	1	20.2	1.194e-07
1861-01-28 00:00:00	-3.989	-2.374	95880	5.741	91.36	0.9521	28.27	2.442e-08
1861-01-29 00:00:00	-0.4214	-2.176	98240	3.665	82.06	0.7595	44.49	3.23e-10
1861-01-30 00:00:00	1.663	6.851	98600	4.813	85.02	0.888	35.23	1.212e-07
1861-01-31 00:00:00	9.852	4.572	97740	5.521	74.2	1	22.98	1.406e-07
1861-02-01 00:00:00	8.526	2.387	98580	4.718	79.05	1	16.08	1.731e-07
1861-02-02 00:00:00	7.651	-0.6399	98730	4.201	76.95	1	27.09	1.369e-07
1861-02-03 00:00:00	5.415	-5.982	99330	6.337	81.01	0.7424	50.25	6.279e-08
1861-02-04 00:00:00	0.7233	-0.0929	100300	4.273	81.59	0.6056	62.96	0
1861-02-05 00:00:00	2.773	6.171	99240	7.472	90.6	1	14.05	2.199e-07
1861-02-06 00:00:00	7.192	-2.155	99700	5.131	72.3	0.8617	44.81	2.563e-08
1861-02-07 00:00:00	8.497	2.074	100900	7.276	81.3	0.7984	51.19	2.119e-09
1861-02-08 00:00:00	8.064	5.872	101100	7.836	82.96	1	27.56	0
1861-02-09 00:00:00	6.649	6.057	101300	8.703	86.85	1	26.73	7.187e-09
1861-02-10 00:00:00	2.321	0.3907	101600	7.469	87.18	1	30.28	5.625e-08
1861-02-11 00:00:00	0.3098	3.834	101800	6.902	88.93	0.8803	47.15	0
1861-02-12 00:00:00	0.829	5.162	101000	7.228	86.16	0.8458	51.98	3.154e-08
1861-02-13 00:00:00	1.992	-1.087	100900	5.522	79.87	0.9598	40.22	1.009e-07
1861-02-14 00:00:00	1.796	3.794	101000	4.26	77.15	0.6396	75.58	0
1861-02-15 00:00:00	1.982	3.519	99410	5.885	88.64	1	21.3	3.025e-07
1861-02-16 00:00:00	0.1327	-1.132	98850	4.536	74.84	0.7009	73.09	0
1861-02-17 00:00:00	-2.425	2.735	98400	4.72	80.25	0.6712	77.21	0
1861-02-18 00:00:00	-5.409	4.858	98480	7.738	84.86	0.651	79.64	0
1861-02-19 00:00:00	-9.619	3.085	98880	6.986	80.22	0.7867	67.43	0
1861-02-20 00:00:00	-10.87	0.5568	99980	2.679	76.44	0.7191	77.59	0
1861-02-21 00:00:00	-7.257	-2.361	101100	2.263	76.02	0.9352	51.5	0
1861-02-22 00:00:00	-4.364	-2.535	101200	4.29	80.61	0.6529	87.26	0
1861-02-23 00:00:00	-0.8467	-3.992	100800	4.102	77.27	0.8935	59.32	3.539e-09
1861-02-24 00:00:00	-0.9868	-4.671	100300	3.546	75.19	0.8023	73.28	1.451e-08
1861-02-25 00:00:00	-0.198	-2.843	100400	3.604	79.4	0.7005	87.22	1.224e-08
1861-02-26 00:00:00	-0.4848	2.752	99710	4.643	87.88	0.9112	59.58	2.128e-08
1861-02-27 00:00:00	0.257	3.803	99540	6.096	93.08	1	33.29	5.162e-08
1861-02-28 00:00:00	4.356	-0.2043	98570	6.32	75.71	0.7453	86.03	8.756e-08
1861-03-01 00:00:00	1.55	-3.571	98100	3.728	78.36	0.6301	102.4	6.913e-08
1861-03-02 00:00:00	3.928	-0.01505	97520	3.318	83.77	0.9951	50.03	1.061e-07
1861-03-03 00:00:00	3.389	0.5384	96450	3.563	77.21	0.977	54.41	5.529e-08
1861-03-04 00:00:00	-1.041	-2.724	96930	4.217	77.69	0.8982	69.27	3.735e-08
1861-03-05 00:00:00	-0.06658	-4.761	98040	4.064	74.75	0.8501	80.12	2.307e-08
1861-03-06 00:00:00	0.7837	-1.776	98350	3.125	73.46	0.6917	106.4	7.174e-08
1861-03-07 00:00:00	-1.904	0.4776	98170	2.838	76.34	0.5958	120.9	2.917e-08
1861-03-08 00:00:00	-1.657	0.1294	98260	2.024	79.9	0.689	110.7	1.243e-08
1861-03-09 00:00:00	1.63	-0.6656	98370	2.891	72.71	0.909	75.56	3.584e-08
