!date	u10	v10	airp	airt	rhum	cloud	swr	precip
2006-01-01 00:00:00	0.4833	-0.3159	100300	5.883	78.64	0.7418	28.84	2.782e-09
2006-01-02 00:00:00	-3.378	1.709	98220	7.103	94.03	1	7.767	2.943e-07
2006-01-03 00:00:00	0.8994	1.043	97620	7.656	90.93	0.7642	28.01	5.644e-08
2006-01-04 00:00:00	-1.868	0.4608	97110	6.345	95.98	1	13.07	7.777e-08
2006-01-05 00:00:00	1.86	1.039	97330	7.008	88.45	1	12.31	1.367e-07
2006-01-06 00:00:00	0.7002	2.341	97720	6.415	81.97	1	14.27	4.363e-08
2006-01-07 00:00:00	3.79	2.975	98830	7.17	79.48	0.8556	25.09	4.301e-08
2006-01-08 00:00:00	1.365	-0.08745	98610	7.936	89.97	1	10.43	2.373e-07
2006-01-09 00:00:00	0.9321	-1.192	100600	3.647	78.13	0.7431	31.98	0
2006-01-10 00:00:00	5.71	2.678	101100	7.219	81.9	0.9928	17.91	7.811e-08
2006-01-11 00:00:00	5.889	4.37	101100	9.344	84.66	0.977	18.99	0
2006-01-12 00:00:00	4.905	5.023	100600	11.46	89.19	1	11.79	3.39e-08
2006-01-13 00:00:00	6.546	-1.234	100900	6.836	77.7	0.7994	30.68	5.686e-08
2006-01-14 00:00:00	3.397	0.02374	102100	5.595	75.58	0.9221	24	0
2006-01-15 00:00:00	2.316	4.724	100800	8.301	89.44	1	10.82	2.277e-07
2006-01-16 00:00:00	3.127	0.2493	100900	7.239	79.19	0.711	36.96	4.949e-09
2006-01-17 00:00:00	2.489	6.962	99780	7.864	87.73	0.9836	20.61	8.068e-08
2006-01-18 00:00:00	6.138	-0.5082	99640	5.722	75.26	0.8699	29.21	4.818e-08
2006-01-19 00:00:00	4.171	-3.056	101300	2.391	75.11	0.9027	27.82	4.01e-08
2006-01-20 00:00:00	6.332	-1.001	101900	5.238	81.93	0.8519	31.42	3.281e-08
2006-01-21 00:00:00	8.391	0.8283	101100	6.811	82.9	1	20.15	1.957e-08
2006-01-22 00:00:00	7.877	-5.377	99800	3.578	78.75	1	20.9	5.799e-08
2006-01-23 00:00:00	1.614	-6.77	101300	-0.2398	77.8	0.9694	24.93	5.14e-08
2006-01-24 00:00:00	1.367	-2.569	102000	0.6137	83.6	0.8136	37.02	4.982e-09
2006-01-25 00:00:00	2.702	2.608	101800	3.269	85.47	1	18.78	0
2006-01-26 00:00:00	2.697	6.546	101200	7.683	83.95	1	20.41	0
2006-01-27 00:00:00	2.622	6.114	101400	9.658	86.71	0.9259	29.44	0
2006-01-28 00:00:00	0.2059	5.919	101500	9.996	88.67	0.9747	25.89	0
2006-01-29 00:00:00	-0.9249	5.543	100500	10.11	91.04	1	16.38	1.379e-07
2006-01-30 00:00:00	0.8921	-3.262	100300	7.96	84	0.7177	47.54	6.549e-09
2006-01-31 00:00:00	-0.6619	2.554	101000	5.035	85.16	0.6702	52.2	0
2006-02-01 00:00:00	-0.9892	4.479	99770	8.796	89.42	1	11.77	2.909e-07
2006-02-02 00:00:00	2.025	2.838	100200	7.014	80.45	0.6892	52.91	1.761e-08
2006-02-03 00:00:00	2.148	3.535	100500	6.636	81.43	0.687	54.21	8.522e-08
2006-02-04 00:00:00	1.982	0.6653	101000	5.972	79.32	0.6279	61.21	5.265e-09
2006-02-05 00:00:00	-0.4294	0.4793	101400	4.138	86.53	0.6097	63.94	0
2006-02-06 00:00:00	-3.795	1.305	101000	4.198	89.16	0.7313	56.14	0
2006-02-07 00:00:00	-6.251	0.7665	100200	3.743	89.25	0.9725	33.94	0
2006-02-08 00:00:00	-7.101	0.2395	99370	3.577	96.07	1	16.3	1.939e-07
2006-02-09 00:00:00	-4.96	-0.3057	99160	3.572	96.73	1	22.38	5.248e-08
2006-02-10 00:00:00	-4.149	-1.518	99350	3.427	94.26	0.9435	39.56	3.276e-08
2006-02-11 00:00:00	-3.694	-0.06955	99940	4.243	91.31	0.9263	42.38	0
2006-02-12 00:00:00	-1.733	2.832	99470	4.257	92.21	0.8879	47.72	6.607e-08
2006-02-13 00:00:00	3.56	-0.889	98780	4.543	77.03	0.6407	73.86	9.017e-08
2006-02-14 00:00:00	2.514	1.857	99160	4.167	77.33	0.9306	45	6.481e-08
2006-02-15 00:00:00	1.351	5.971	99360	5.776	79.13	0.903	49.11	3.969e-08
2006-02-16 00:00:00	2.341	5.209	98850	6.743	79.82	0.9348	45.92	2.016e-07
2006-02-17 00:00:00	1.621	4.325	97930	6.485	81.1	0.9023	51.08	1.422e-07
2006-02-18 00:00:00	2.743	2.837	98030	4.765	76.79	1	33.06	1.875e-08
2006-02-19 00:00:00	2.885	1.723	98320	5.127	72.08	0.7129	76.39	5.594e-08
2006-02-20 00:00:00	4.367	0.3487	98810	5.326	73.74	0.8501	61.6	2.911e-08
2006-02-21 00:00:00	2.623	3.251	98620	6.107	82.2	1	34.38	1.318e-07
2006-02-22 00:00:00	5.562	3.866	97800	6.675	72.13	0.8929	58.01	7.212e-08
2006-02-23 00:00:00	6.334	-0.9131	97850	6.713	74.7	0.9015	57.8	6.64e-08
2006-02-24 00:00:00	3.274	1.344	98850	5.95	77.56	0.78	75.53	9.205e-08
2006-02-25 00:00:00	5.219	3.992	98140	9.649	79.44	0.9016	59.15	7.972e-08
2006-02-26 00:00:00	4.081	5.227	97880	6.709	70.67	0.8184	73.34	1.019e-07
2006-02-27 00:00:00	3.454	3.729	97550	6.342	76.57	0.99	47.92	8.365e-08
2006-02-28 00:00:00	3.183	4.514	98470	7.86	81.31	1	30.69	1.857e-07
2006-03-01 00:00:00	7.554	4.378	99240	10.3	78.37	0.8605	70.02	7.277e-08
2006-03-02 00:00:00	3.431	4.022	100400	10.45	88.64	1	36.48	2.084e-08
2006-03-03 00:00:00	5.185	2.604	99870	9.961	83.9	1	28.99	5.092e-08
2006-03-04 00:00:00	2.107	1.102	100700	6.796	70.09	0.7447	92.84	0
2006-03-05 00:00:00	4.773	4.07	99020	9.198	79.4	0.9473	61.73	9.86e-08
2006-03-06 00:00:00	2.007	3.319	97550	8.681	90.21	1	24.16	2.604e-07
2006-03-07 00:00:00	5.873	0.4142	97190	6.836	76.17	0.882	76.8	1.713e-07
2006-03-08 00:00:00	6.994	-0.6871	96880	5.121	73.44	1	46.39	1.285e-07
2006-03-09 00:00:00	1.474	-0.1853	97480	3.845	67.38	0.9282	71.83	3.917e-08
2006-03-10 00:00:00	3.697	0.355	97770	4.629	68.58	0.8226	92.86	5.263e-08
2006-03-11 00:00:00	0.5313	-1.637	97980	3.037	72.64	0.6108	128	0
2006-03-12 00:00:00	-1.376	-3.241	98260	1.871	68.64	0.6856	120	0
2006-03-13 00:00:00	-0.6152	1.11	98990	2.554	70.23	0.6149	132.2	0
2006-03-14 00:00:00	0.1284	4.112	99250	7.146	79.58	0.8532	92.22	2.894e-08
