date,temp
2010-01-01,4.977
2010-01-02,4.851
2010-01-03,4.71
2010-01-04,4.571
2010-01-05,4.424
2010-01-06,4.234
2010-01-07,4.143
2010-01-08,4.065
2010-01-09,4.003
2010-01-10,3.887
2010-01-11,3.72
2010-01-12,3.629
2010-01-13,3.51
2010-01-14,3.485
2010-01-15,3.553
2010-01-16,3.806
2010-01-17,3.896
2010-01-18,4.058
2010-01-19,4.084
2010-01-20,4.156
2010-01-21,4.174
2010-01-22,4.325
2010-01-23,4.291
2010-01-24,4.215
2010-01-25,4.24
2010-01-26,4.215
2010-01-27,4.264
2010-01-28,4.345
2010-01-29,4.455
2010-01-30,4.463
2010-01-31,4.416
2010-02-01,4.391
2010-02-02,4.453
2010-02-03,4.49
2010-02-04,4.531
2010-02-05,4.588
2010-02-06,4.645
2010-02-07,4.575
2010-02-08,4.571
2010-02-09,4.527
2010-02-10,4.48
2010-02-11,4.434
2010-02-12,4.36
2010-02-13,4.287
2010-02-14,4.267
2010-02-15,4.28
2010-02-16,4.262
2010-02-17,4.24
2010-02-18,4.195
2010-02-19,4.16
2010-02-20,4.119
2010-02-21,4.092
2010-02-22,4.102
2010-02-23,4.032
2010-02-24,3.994
2010-02-25,3.975
2010-02-26,3.998
2010-02-27,4.007
2010-02-28,4.039
2010-03-01,4.077
2010-03-02,4.037
2010-03-03,4.115
2010-03-04,4.167
2010-03-05,4.248
2010-03-06,4.34
2010-03-07,4.245
2010-03-08,4.263
2010-03-09,4.29
2010-03-10,4.338
2010-03-11,4.32
2010-03-12,4.359
2010-03-13,4.44
2010-03-14,4.546
2010-03-15,4.619
2010-03-16,4.702
2010-03-17,4.941
2010-03-18,5.173
2010-03-19,5.402
2010-03-20,5.499
2010-03-21,5.526
2010-03-22,5.708
2010-03-23,5.809
2010-03-24,5.9
2010-03-25,6.063
2010-03-26,6.482
2010-03-27,6.278
2010-03-28,6.314
2010-03-29,6.243
2010-03-30,6.178
2010-03-31,6.046
2010-04-01,6.149
2010-04-02,6.092
2010-04-03,6.114
2010-04-04,6.131
2010-04-05,6.342
2010-04-06,6.596
2010-04-07,6.748
2010-04-08,6.931
2010-04-09,7.105
2010-04-10,7.362
2010-04-11,8.044
2010-04-12,8.016
2010-04-13,8.089
2010-04-14,8.422
2010-04-15,8.31
2010-04-16,9.069
2010-04-17,9.67
2010-04-18,9.712
2010-04-19,9.256
2010-04-20,9.41
2010-04-21,9.628
2010-04-22,10.126
2010-04-23,10.127
2010-04-24,10.1
2010-04-25,10.196
2010-04-26,10.418
2010-04-27,10.336
2010-04-28,10.379
2010-04-29,10.569
2010-04-30,10.783
2010-05-01,10.949
2010-05-02,10.41
2010-05-03,10.335
2010-05-04,10.697
2010-05-05,10.556
2010-05-06,10.566
2010-05-07,10.622
2010-05-08,10.778
2010-05-09,10.795
2010-05-10,10.76
2010-05-11,10.996
2010-05-12,11.02
2010-05-13,11.06
2010-05-14,11.105
2010-05-15,10.98
2010-05-16,11.162
2010-05-17,11.352
2010-05-18,11.378
2010-05-19,11.921
2010-05-20,12.499
2010-05-21,13.258
2010-05-22,14.809
2010-05-23,15.233
2010-05-24,13.899
2010-05-25,13.322
2010-05-26,13.305
2010-05-27,14.023
2010-05-28,14.122
2010-05-29,14.227
2010-05-30,14.313
2010-05-31,14.12
2010-06-01,14.214
2010-06-02,14.825
2010-06-03,15.23
2010-06-04,15.238
2010-06-05,15.882
2010-06-06,16.139
2010-06-07,16.025
2010-06-08,15.594
2010-06-09,14.951
2010-06-10,15.025
2010-06-11,15.11
2010-06-12,15.052
2010-06-13,15.094
2010-06-14,14.92
2010-06-15,15.506
2010-06-16,16.05
2010-06-17,16.357
2010-06-18,15.8
2010-06-19,15.334
2010-06-20,16.535
2010-06-21,16.646
2010-06-22,16.894
2010-06-23,16.865
2010-06-24,17.297
2010-06-25,17.666
2010-06-26,17.647
2010-06-27,17.512
2010-06-28,17.468
2010-06-29,17.678
2010-06-30,17.579
2010-07-01,17.158
2010-07-02,16.955
2010-07-03,16.74
2010-07-04,16.423
2010-07-05,16.05
2010-07-06,16.004
2010-07-07,15.962
2010-07-08,15.836
2010-07-09,16.081
2010-07-10,15.786
2010-07-11,15.655
2010-07-12,16.247
2010-07-13,16.201
2010-07-14,16.195
2010-07-15,16.61
2010-07-16,15.904
2010-07-17,15.75
2010-07-18,15.936
2010-07-19,16.097
2010-07-20,16.335
2010-07-21,15.957
2010-07-22,15.674
2010-07-23,15.888
2010-07-24,16.167
2010-07-25,16.504
2010-07-26,16.355
2010-07-27,16.477
2010-07-28,16.746
2010-07-29,16.699
2010-07-30,16.657
2010-07-31,16.564
2010-08-01,16.66
2010-08-02,16.607
2010-08-03,16.548
2010-08-04,16.381
2010-08-05,16.297
2010-08-06,16.233
2010-08-07,16.25
2010-08-08,16.147
2010-08-09,16.115
2010-08-10,16.446
2010-08-11,16.355
2010-08-12,16.052
2010-08-13,15.993
2010-08-14,16.198
2010-08-15,16.866
2010-08-16,17.134
2010-08-17,16.699
2010-08-25,15.598
2010-08-26,15.528
2010-08-27,15.638
2010-08-28,16.182
2010-08-29,15.905
2010-08-30,15.836
2010-08-31,16.324
2010-09-01,16.146
2010-09-02,16.134
2010-09-03,16.197
2010-09-04,16.36
2010-09-05,16.343
2010-09-06,16.232
2010-09-07,16.031
2010-09-08,15.8
2010-09-09,15.827
2010-09-10,15.972
2010-09-11,16.03
2010-09-12,15.877
2010-09-13,15.735
2010-09-14,15.555
2010-09-15,15.241
2010-09-16,15.2
2010-09-17,15.128
2010-09-18,15.012
2010-09-19,14.983
2010-09-20,15.058
2010-09-21,15.087
2010-09-22,15.185
2010-09-23,15.048
2010-09-24,14.807
2010-09-25,14.748
2010-09-26,14.59
2010-09-27,14.425
2010-09-28,14.341
2010-09-29,14.328
2010-09-30,14.278
2010-10-01,14.212
2010-10-02,14.068
2010-10-03,14.035
2010-10-04,13.926
2010-10-05,13.719
2010-10-06,13.568
2010-10-07,13.537
2010-10-08,13.563
2010-10-09,13.653
2010-10-10,13.653
2010-10-11,13.696
2010-10-12,13.707
2010-10-13,13.646
2010-10-14,13.517
2010-10-15,13.451
2010-10-16,13.432
2010-10-17,13.34
2010-10-18,13.28
2010-10-19,13.14
2010-10-20,12.978
2010-10-21,12.863
2010-10-22,12.762
2010-10-23,12.67
2010-10-24,12.551
2010-10-25,12.311
2010-10-26,12.22
2010-10-27,12.186
2010-10-28,12.053
2010-10-29,11.964
2010-10-30,11.912
2010-10-31,11.785
2010-11-01,11.658
2010-11-02,11.54
2010-11-03,11.437
2010-11-04,11.463
2010-11-05,11.422
2010-11-06,11.332
2010-11-07,11.129
2010-11-08,10.93
2010-11-09,10.698
2010-11-10,10.53
2010-11-11,10.364
2010-11-12,10.143
2010-11-13,10.022
2010-11-14,9.851
2010-11-15,9.765
2010-11-16,9.641
2010-11-17,9.469
2010-11-18,9.38
2010-11-19,9.334
2010-11-20,9.281
2010-11-21,9.191
2010-11-22,9.068
2010-11-23,8.955
2010-11-24,8.823
2010-11-25,8.674
2010-11-26,8.495
2010-11-27,8.247
2010-11-28,8.037
2010-11-29,7.831
2010-11-30,7.542
2010-12-01,7.3
2010-12-02,7.01
2010-12-03,6.83
2010-12-04,6.718
2010-12-05,6.578
